DriverID,FirstName,LastName,DateOfBirth,Nationality,TotalPoints,RacePositions,RacePoints,QualifyingTimes
albon,Alexander,Albon,1996-03-23,Thai,12.0,"['15', '11', '11', '20', '12', '18', '20', '9', '17', '18', '15', '9', '14', '12', '14', '9', '7', '20', '16', '19', '18', '19', '15', '11']","['0', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '2', '0', '0', '0', '2', '6', '0', '0', '0', '0', '0', '0', '0']","['1:30.221', '1:28.980', '1:17.167', '1:29.714', '1:35.241', '1:28.413', '1:16.200', '1:10.948', '1:12.796', '1:13.153', '1:05.736', '1:26.640', '1:16.429', '1:54.473', '', '1:20.299', '1:42.859', '1:30.474', '1:34.051', '1:17.065', '1:24.657', '1:34.425', '1:22.390', '1:23.821']"
alonso,Fernando,Alonso,1981-07-29,Spanish,70.0,"['9', '5', '8', '6', '7', '9', '19', '11', '6', '12', '18', '8', '11', '8', '10', '11', '6', '8', '13', '18', '14', '11', '7', '9']","['2', '10', '4', '8', '7', '2', '0', '0', '8', '0', '0', '4', '0', '4', '1', '0', '8', '4', '0', '0', '0', '0', '6', '2']","['1:29.542', '1:27.846', '1:17.552', '1:28.686', '1:34.148', '1:28.427', '1:16.917', '1:12.019', '1:12.228', '1:12.128', '1:05.639', '1:26.917', '1:16.043', '1:54.765', '1:10.633', '1:20.421', '1:42.369', '1:30.214', '1:33.309', '1:17.168', '1:28.998', '1:34.258', '1:21.251', '1:23.196']"
bearman,Oliver,Bearman,2005-05-08,British,7.0,"['7', '10', '12']","['6', '1', '0']","['1:28.642', '1:42.968', '1:31.229']"
bottas,Valtteri,Bottas,1989-08-28,Finnish,0.0,"['19', '17', '14', '14', '20', '16', '18', '13', '13', '16', '16', '15', '16', '15', '19', '16', '16', '16', '17', '14', '13', '18', '11', '18']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['1:30.756', '1:29.179', '1:17.340', '1:29.593', '1:34.665', '1:28.463', '1:16.626', '1:12.512', '1:13.366', '1:12.227', '1:05.847', '1:32.431', '1:16.384', '1:54.764', '1:12.168', '1:21.101', '1:43.618', '1:31.572', '1:34.152', '1:17.817', '1:26.472', '1:34.430', '1:21.731', '1:23.204']"
colapinto,Franco,Colapinto,2003-05-27,Argentinian ,5.0,"['12', '8', '11', '10', '12', '17', '14', '19', '19']","['0', '4', '0', '1', '0', '0', '0', '0', '0']","['1:21.061', '1:42.530', '1:30.481', '1:34.062', '1:17.558', '1:31.270', '1:33.749', '1:22.594', '1:23.912']"
doohan,Jack,Doohan,2003-01-20,Australian,0.0,['15'],['0'],['1:24.105']
gasly,Pierre,Gasly,1996-02-07,French,40.0,"['18', '20', '13', '16', '13', '12', '16', '10', '9', '9', '10', '20', '20', '13', '9', '15', '12', '17', '12', '10', '3', '20', '5', '7']","['0', '0', '0', '0', '0', '0', '0', '1', '2', '2', '1', '0', '0', '0', '2', '0', '0', '0', '0', '1', '15', '0', '10', '6']","['1:30.948', '1:29.479', '1:17.982', '1:30.119', '1:35.463', '1:28.324', '1:16.381', '1:11.311', '1:12.940', '1:11.857', '1:05.359', '1:39.804', '1:18.166', '1:54.635', '1:10.977', '1:20.738', '1:43.179', '1:31.312', '1:33.018', '1:16.892', '1:29.614', '1:32.664', '1:21.437', '1:22.984']"
hamilton,Lewis,Hamilton,1985-01-07,British,207.0,"['7', '9', '18', '9', '9', '6', '6', '7', '4', '3', '4', '1', '3', '1', '8', '5', '9', '6', '20', '4', '10', '2', '12', '4']","['6', '2', '0', '2', '2', '8', '8', '7', '13', '15', '12', '25', '15', '25', '4', '10', '2', '8', '0', '12', '1', '18', '0', '12']","['1:29.710', '1:28.460', '1:16.960', '1:28.766', '1:35.573', '1:28.107', '1:15.504', '1:10.621', '1:12.280', '1:11.701', '1:04.903', '1:25.990', '1:15.854', '1:53.835', '1:10.948', '1:19.513', '1:42.289', '1:29.841', '1:34.154', '1:16.651', '1:31.150', '1:48.106', '1:21.011', '1:23.887']"
hulkenberg,Nico,Hülkenberg,1987-08-19,German,36.0,"['16', '10', '9', '11', '10', '11', '11', '19', '11', '11', '6', '6', '13', '18', '11', '17', '11', '9', '8', '9', '20', '8', '16', '8']","['0', '1', '2', '0', '1', '0', '0', '0', '0', '0', '8', '8', '0', '0', '0', '0', '0', '2', '4', '2', '0', '4', '0', '4']","['1:30.502', '1:29.055', '1:17.976', '1:29.494', '1:34.604', '1:28.146', '1:15.980', '1:11.440', '1:13.978', '1:12.310', '1:05.385', '1:26.338', '1:16.317', '1:56.308', '1:11.215', '1:20.339', '1:43.191', '1:30.115', '1:33.544', '1:17.365', '1:31.623', '1:33.062', '1:22.442', '1:22.886']"
lawson,Liam,Lawson,2002-02-11,New Zealander,4.0,"['9', '16', '9', '16', '14', '17']","['2', '0', '2', '0', '0', '0']","['1:33.339', '1:17.162', '1:24.484', '1:34.257', '1:22.411', '1:23.472']"
